object_name,address,Информация о публикации,Цена,Объявление от,Тип аренды,Тип квартиры,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Тип,Этаж,Этажность дома,url,Топ
"ЖК ""Апельсин""ДОМ СДАН,большой выбор квартир,Потресающий вид на мор мор","Одесса, Одесская область, Приморский","Добавлено: в 00:10, 28 февраля 2017,",39 999 $,Бизнес,,Новостройки,1,42 м2,21 м2,12 м2,Монолитный,16,24,https://www.olx.ua/obyavlenie/zhk-apelsin-dom-sdan-bolshoy-vybor-kvartir-potresayuschiy-vid-na-mor-mor-IDqKhbY.html
Хочешь квартиру с видом на море 22.5тыс $,"Одесса, Одесская область, Суворовский","Опубликовано с мобильного в 00:08, 28 февраля 2017,","22 500 $
Договорная",Бизнес,,Новостройки,2,60 м2,,15 м2,,7,24,https://www.olx.ua/obyavlenie/hochesh-kvartiru-s-vidom-na-more-22-5tys-IDqKh6v.html
"1к.Французский бульвар,новый дом","Одесса, Одесская область, Приморский","Опубликовано с мобильного в 00:04, 28 февраля 2017,",67 000 $,Бизнес,,Новостройки,1,63 м2,,,Монолитный,9,21,https://www.olx.ua/obyavlenie/1k-frantsuzskiy-bulvar-novyy-dom-IDnDL7v.html
2к.. Альтаир.Люстдорфская дор.Таирово-Черёмушки,"Одесса, Одесская область, Малиновский","Опубликовано с мобильного в 00:02, 28 февраля 2017,",77 000 $,Бизнес,,Вторичный рынок,2,73 м2,45 м2,15 м2,,16,21,https://www.olx.ua/obyavlenie/2k-altair-lyustdorfskaya-dor-tairovo-cheremushki-IDozAZS.html
Однокомнатная квартира Паустовского 40 метров,"Одесса, Одесская область, Суворовский","Добавлено: в 00:02, 28 февраля 2017,",13 000 $,Бизнес,,Вторичный рынок,1,40 м2,20 м2,18 м2,,1,,https://www.olx.ua/obyavlenie/odnokomnatnaya-kvartira-paustovskogo-40-metrov-IDqKgTV.html
Двушка продается в 30 жемчужине. Сахарова. Цена.,"Одесса, Одесская область, Суворовский","Добавлено: в 00:00, 28 февраля 2017,",34 600 $,Бизнес,,Новостройки,2,63 м2,32 м2,13 м2,,8,25,https://www.olx.ua/obyavlenie/dvushka-prodaetsya-v-30-zhemchuzhine-saharova-tsena-IDq4U6q.html
Продам 1 ком. квартиру ул. Черноморского Казачества,"Одесса, Одесская область, Приморский","Добавлено: в 00:00, 28 февраля 2017,",16 000 $,Бизнес,,Вторичный рынок,1,30 м2,20 м2,9 м2,,2,2,https://www.olx.ua/obyavlenie/prodam-1-kom-kvartiru-ul-chernomorskogo-kazachestva-IDqf1yg.html
"""СТОЯНОЧКА!!! Квартира для Вашей семьи""","Одесса, Одесская область, Суворовский","Добавлено: в 23:59, 27 февраля 2017,",35 000 $,Бизнес,,Новостройки,3,98 м2,64 м2,14 м2,Монолитный,10,25,https://www.olx.ua/obyavlenie/stoyanochka-kvartira-dlya-vashey-semi-IDqKgIV.html
"Продам, 2-х комн. квартиру (Вымпел)","Одесса, Одесская область, Приморский","Добавлено: в 23:58, 27 февраля 2017,",43 500 $,Бизнес,,Вторичный рынок,2,50 м2,30 м2,8 м2,Кирпичный,6,9,https://www.olx.ua/obyavlenie/prodam-2-h-komn-kvartiru-vympel-IDqKgFU.html
Своя 3-комн. Королева/рынок Южный,"Одесса, Одесская область, Киевский","Добавлено: в 23:51, 27 февраля 2017,",58 000 $,Частного лица,,Вторичный рынок,3,63 м2,43 м2,10 м2,Панельный,4,9,https://www.olx.ua/obyavlenie/svoya-3-komn-koroleva-rynok-yuzhnyy-IDntp9M.html
