object_name,address,Информация о публикации,Цена,Объявление от,Тип аренды,Тип квартиры,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Тип,Этаж,Этажность дома,url,Топ
Продам СВОЮ 2-х комнатную квартиру по ул. Ковалевского (Пишоновская),"Одесса, Одесская область, Приморский","Добавлено: в 03:16, 22 февраля 2017,",57 000 $,Частного лица,,Новостройки,2,57 м2,26 м2,15 м2,Монолитный,13,16,https://www.olx.ua/obyavlenie/prodam-svoyu-2-h-komnatnuyu-kvartiru-po-ul-kovalevskogo-pishonovskaya-ID8xSwZ.html
"Срочно
        4-х комн. своя Сабанский пер. д.3 Площадь 137 кв.м. Прямой вид на море","Одесса, Одесская область, Приморский","Добавлено: в 03:09, 22 февраля 2017,",195 000 $,Бизнес,,Новостройки,4,137 м2,,,Монолитный,17,17,https://www.olx.ua/obyavlenie/4-h-komn-svoya-sabanskiy-per-d-3-ploschad-137-kv-m-pryamoy-vid-na-more-ID7MoET.html
2-ком квартира в Светлом переулке в доме 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 02:26, 22 февраля 2017,",20 000 $,Частного лица,,Вторичный рынок,1,,,,,12,,https://www.olx.ua/obyavlenie/2-kom-kvartira-v-svetlom-pereulke-v-dome-11-IDqBbB0.html
1-ком в Светлом переулке дом 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 02:20, 22 февраля 2017,",15 000 $,Частного лица,,Вторичный рынок,1,,,,,5,,https://www.olx.ua/obyavlenie/1-kom-v-svetlom-pereulke-dom-11-IDqBbv2.html
1-ком в Светлом переулке дом 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 02:20, 22 февраля 2017,",15 000 $,Частного лица,,Вторичный рынок,1,,,,,5,,https://www.olx.ua/obyavlenie/1-kom-v-svetlom-pereulke-dom-11-IDqBbv4.html
1-ком в Светлом переулке дом 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 02:20, 22 февраля 2017,",15 000 $,Частного лица,,Вторичный рынок,1,,,,,5,,https://www.olx.ua/obyavlenie/1-kom-v-svetlom-pereulke-dom-11-IDqBbv0.html
1-ком в Светлом переулке дом 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 02:20, 22 февраля 2017,",15 000 $,Частного лица,,Вторичный рынок,1,,,,,5,,https://www.olx.ua/obyavlenie/1-kom-v-svetlom-pereulke-dom-11-IDqBbwS.html
1-ком в Светлом переулке дом 11,"Одесса, Одесская область, Приморский","Опубликовано с мобильного в 02:20, 22 февраля 2017,",15 000 $,Частного лица,,Вторичный рынок,1,,,,,5,,https://www.olx.ua/obyavlenie/1-kom-v-svetlom-pereulke-dom-11-IDqBbwI.html
Квартира 118 кв.м. 3 к. Приморский р-н,"Одесса, Одесская область, Приморский","Добавлено: в 02:16, 22 февраля 2017,","166 000 $
Договорная",Частного лица,,Вторичный рынок,3,118 м2,,,,2,10,https://www.olx.ua/obyavlenie/kvartira-118-kv-m-3-k-primorskiy-r-n-IDqBbsv.html
Продам двухкомнатную квартиру на ул. Маршала Жукова,"Одесса, Одесская область, Киевский","Добавлено: в 02:00, 22 февраля 2017,",42 000 $,Бизнес,,Вторичный рынок,2,50 м2,30 м2,8 м2,,8,9,https://www.olx.ua/obyavlenie/prodam-dvuhkomnatnuyu-kvartiru-na-ul-marshala-zhukova-IDp2RWu.html
Продам 1-к.кв. в новом жилом комплексе С ВИДОМ НА МОРЕ!,"Одесса, Одесская область, Киевский","Добавлено: в 01:45, 22 февраля 2017,",30 000 $,Бизнес,,Новостройки,1,43 м2,14 м2,19 м2,,21,24,https://www.olx.ua/obyavlenie/prodam-1-k-kv-v-novom-zhilom-komplekse-s-vidom-na-more-IDqgDMM.html
СРОЧНО! Двухкомнатная квартира в новом кирпичном доме на ул. Тополевой,"Одесса, Одесская область, Киевский","Добавлено: в 01:45, 22 февраля 2017,",70 000 $,Бизнес,,Новостройки,2,86 м2,42 м2,15 м2,,12,16,https://www.olx.ua/obyavlenie/srochno-dvuhkomnatnaya-kvartira-v-novom-kirpichnom-dome-na-ul-topolevoy-IDp2PvC.html
Очень красивая 2-х комнатная квартира по улице  Академика Филатова,"Одесса, Одесская область, Малиновский","Добавлено: в 01:45, 22 февраля 2017,",53 500 $,Бизнес,,Вторичный рынок,2,50 м2,0,8 м2,,4,9,https://www.olx.ua/obyavlenie/ochen-krasivaya-2-h-komnatnaya-kvartira-po-ulitse-akademika-filatova-IDq6ubg.html
Продам 3-комнатную квартиру в ЖК Гранд Парк.,"Одесса, Одесская область, Приморский","Добавлено: в 01:30, 22 февраля 2017,",150 000 $,Бизнес,,Вторичный рынок,3,136 м2,0,0,,12,21,https://www.olx.ua/obyavlenie/prodam-3-komnatnuyu-kvartiru-v-zhk-grand-park-IDoFG8i.html
Продам 2-комнатную квартиру: ул. Екатерининская/Дерибасовская.,"Одесса, Одесская область, Приморский","Добавлено: в 01:30, 22 февраля 2017,",90 000 $,Бизнес,,Вторичный рынок,2,85 м2,40 м2,10 м2,,1,2,https://www.olx.ua/obyavlenie/prodam-2-komnatnuyu-kvartiru-ul-ekaterininskaya-deribasovskaya-IDoUXBc.html
Продам 1-комнатную квартиру в ЖК Белый парус.,"Одесса, Одесская область, Приморский","Добавлено: в 01:30, 22 февраля 2017,",168 000 $,Бизнес,,Вторичный рынок,1,98 м2,75 м2,20 м2,,5,16,https://www.olx.ua/obyavlenie/prodam-1-komnatnuyu-kvartiru-v-zhk-belyy-parus-IDp2Uni.html
Квартира,"Одесса, Одесская область, Суворовский","Опубликовано с мобильного в 01:23, 22 февраля 2017,",65 000 $,Частного лица,,Вторичный рынок,3,,,,,12,12,https://www.olx.ua/obyavlenie/kvartira-IDpQzFE.html
FF продам 2 х комн. в ЖМ Жемчужина. 27368 у.е/0 %.,"Одесса, Одесская область, Суворовский","Добавлено: в 01:13, 22 февраля 2017,",27 370 $,Бизнес,,Новостройки,2,,,,,9,25,https://www.olx.ua/obyavlenie/ff-prodam-2-h-komn-v-zhm-zhemchuzhina-27368-u-e-0-IDqB1na.html
АКЦИЯ! Продам 1-к.кв. в новом доме у самого моря! На Фонтане!,"Одесса, Одесская область, Киевский","Добавлено: в 01:00, 22 февраля 2017,",28 000 $,Бизнес,,Новостройки,1,43 м2,19 м2,12 м2,,9,24,https://www.olx.ua/obyavlenie/aktsiya-prodam-1-k-kv-v-novom-dome-u-samogo-morya-na-fontane-IDqgCRk.html
Продам 2-комнатную квартиру по ул. Атамана Головатого.,"Одесса, Одесская область, Суворовский","Добавлено: в 01:00, 22 февраля 2017,",21 450 $,Бизнес,,Вторичный рынок,2,43 м2,0,0,,2,2,https://www.olx.ua/obyavlenie/prodam-2-komnatnuyu-kvartiru-po-ul-atamana-golovatogo-IDnnKYu.html
Продам 2-комнатную квартиру в ЖК Звездный городок-2.,"Одесса, Одесская область, Приморский","Добавлено: в 01:00, 22 февраля 2017,",82 000 $,Бизнес,,Вторичный рынок,2,64 м2,30 м2,10 м2,,7,24,https://www.olx.ua/obyavlenie/prodam-2-komnatnuyu-kvartiru-v-zhk-zvezdnyy-gorodok-2-IDm1rMm.html
Продам двухкомнатную квартиру на ул. Палубная.,"Одесса, Одесская область, Приморский","Добавлено: в 01:00, 22 февраля 2017,",90 000 $,Бизнес,,Вторичный рынок,2,100 м2,48 м2,13 м2,,9,10,https://www.olx.ua/obyavlenie/prodam-dvuhkomnatnuyu-kvartiru-na-ul-palubnaya-IDm30KS.html
Продам 1-комнатную квартиру в ЖК Вернисаж.,"Одесса, Одесская область, Киевский","Добавлено: в 00:45, 22 февраля 2017,",40 000 $,Бизнес,,Вторичный рынок,1,44 м2,18 м2,14 м2,,3,17,https://www.olx.ua/obyavlenie/prodam-1-komnatnuyu-kvartiru-v-zhk-vernisazh-IDnbwU0.html
Однокомнатная квартира 46 метров Альтаир. Будова.,"Одесса, Одесская область, Киевский","Добавлено: в 00:30, 22 февраля 2017,",39 270 $,Бизнес,,Новостройки,1,46 м2,18 м2,14 м2,,16,24,https://www.olx.ua/obyavlenie/odnokomnatnaya-kvartira-46-metrov-altair-budova-IDq6rYS.html
Продам 3-комнатную квартиру в ЖК Титаник.,"Одесса, Одесская область, Приморский","Добавлено: в 00:30, 22 февраля 2017,",160 000 $,Бизнес,,Вторичный рынок,3,140 м2,80 м2,21 м2,,1,12,https://www.olx.ua/obyavlenie/prodam-3-komnatnuyu-kvartiru-v-zhk-titanik-IDmdsI8.html
Продам 2-комнатную квартиру в ЖК Стрекоза.,"Одесса, Одесская область, Киевский","Добавлено: в 00:30, 22 февраля 2017,",92 000 $,Бизнес,,Вторичный рынок,2,98 м2,0,0,,6,8,https://www.olx.ua/obyavlenie/prodam-2-komnatnuyu-kvartiru-v-zhk-strekoza-IDngbs2.html
Продам 3-комнатную квартиру: ул. Шилова/Грушевского.,"Одесса, Одесская область, Суворовский","Добавлено: в 00:30, 22 февраля 2017,",45 000 $,Бизнес,,Вторичный рынок,3,60 м2,0,0,,1,3,https://www.olx.ua/obyavlenie/prodam-3-komnatnuyu-kvartiru-ul-shilova-grushevskogo-IDp9KKG.html
Продам 3-комнатную квартиру в ЖК Дома Каркашадзе.,"Одесса, Одесская область, Приморский","Добавлено: в 00:30, 22 февраля 2017,",250 000 $,Бизнес,,Вторичный рынок,3,138 м2,0,0,,1,9,https://www.olx.ua/obyavlenie/prodam-3-komnatnuyu-kvartiru-v-zhk-doma-karkashadze-IDmdrHo.html
